,title,total,last,length
148,Delaware,6436955,783600,102620
149,Indianapolis,6408834,781926,183420
150,"Madison, Wisconsin, metropolitan statistical area",6377728,742953,12483
151,"Jefferson County, Alabama",6209404,662047,40423
152,New Jersey in the 19th century,6072150,1131116,9489
153,"Montgomery County, Pennsylvania",6057596,750097,53530
154,"Fulton County, Georgia",6033772,816006,37781
155,Cincinnati,5963279,331285,104261
156,"Buffalo, New York",5929850,292648,95257
157,"Demographics of Buffalo, New York",5929850,292648,16994
158,"Norfolk County, Massachusetts",5917965,650308,29809
159,"Baltimore County, Maryland",5868769,754292,68842
160,"Phoenix, Arizona",5831887,1321045,194903
161,"Akron, Ohio, metropolitan statistical area",5809518,694960,33848
162,"Bristol County, Massachusetts",5798906,534678,36347
163,"Hempstead, New York",5646862,755924,29948
164,"City and County of Honolulu, Hawaii (U.S. state)",5635340,876156,49762
165,"Multnomah County, Oregon",5507777,660486,30945
166,"Columbus, Ohio",5439921,711470,134834
167,"Hillsborough County, Florida",5413227,998948,56312
168,"Salt Lake County, Utah",5289982,898387,48243
169,Greater Austin,5258509,1249763,68154
170,"Montgomery County, Ohio",5257369,559062,24359
171,"Middlesex County, New Jersey",5239304,750162,63983
172,"Memphis, Tennessee",5182650,650100,135027
173,Seattle,5152375,563374,179008
174,"Delaware County, Pennsylvania",5071095,550864,50357
175,"Contra Costa County, California",5046852,948816,149516
176,"Onondaga County, New York",5039603,458336,32823
177,"Luzerne County, Pennsylvania",5039591,319255,75259
178,Minneapolis,5015454,382618,203353
179,"Clark County, Nevada",5013299,1375765,40362
180,"Hampden County, Massachusetts",4974239,456228,30380
181,"Summit County, Ohio",4960623,542899,22625
182,Denver,4905274,554636,133081
183,"Duval County, Florida",4843394,778879,25660
184,"Union County, New Jersey",4773399,522541,67536
185,"Prince George's County, Maryland",4772277,801515,88568
186,"Lucas County, Ohio",4745844,455054,20591
187,Mahoning Valley,4743828,602978,24920
188,"Palm Beach County, Florida",4739247,1131184,82127
189,"Davidson County, Tennessee",4718751,569891,15920
190,"Macomb County, Michigan",4688974,788149,32479
191,"Ramsey County, Minnesota",4677923,511035,21053
192,"Pinellas County, Florida",4656723,921482,89919
193,"Montgomery County, Maryland",4649317,873341,109724
194,"Passaic County, New Jersey",4625811,489049,35302
195,"DuPage County, Illinois",4606675,904161,52654
196,"Fresno County, California",4585168,799407,99841
197,"Fairfax County, Virginia",4559666,969749,103102
198,"Oklahoma County, Oklahoma",4544381,660448,14258
199,Pee Dee,4524944,777839,9100
200,"Lancaster County, Pennsylvania",4505214,470658,107225
201,"Kent County, Michigan",4422263,574335,29742
202,"Louisville, Kentucky",4367517,256231,120457
203,"Camden County, New Jersey",4351052,508932,48114
204,Tulsa metropolitan area,4347000,859532,25337
205,"Westmoreland County, Pennsylvania",4335785,369993,38107
206,"Lake County, Indiana",4307940,484564,71209
207,"Monmouth County, New Jersey",4300358,615301,66987
208,"Pierce County, Washington",4299544,700820,33608
209,"Portland, Oregon",4283788,529121,192949
210,"San Jose, California",4267834,894943,147195
211,"San Mateo County, California",4192096,707161,92035
212,"Jacksonville, Florida",4182833,735503,173413
213,Atlanta,4124162,416474,133906
214,"Orange County, Florida",4106713,896344,47446
215,"Berks County, Pennsylvania",4086250,373638,49179
216,"Bucks County, Pennsylvania",4081203,597635,69971
217,"Mecklenburg County, North Carolina",4061177,695454,39138
218,"Douglas County, Nebraska",4022309,463585,18884
219,Spokane-Coeur d'Alene Combined Statistical Area,4020109,578438,2644
220,"Pima County, Arizona",4016971,843746,32202
221,"New Castle County, Delaware",4008911,500265,33200
222,"Travis County, Texas",3938331,812280,30324
223,Wyoming,3935231,493782,100131
224,"Plymouth County, Massachusetts",3901965,472822,41901
225,"Albany County, New York",3899543,294565,60169
226,"El Paso County, Texas",3889378,679622,15120
227,"Nashville, Tennessee",3798973,569891,108642
228,Sacramento metropolitan area,3779190,1709892,36996
229,"Oakland, California",3730372,399484,129482
230,"Fort Worth, Texas",3714518,534697,87958
231,"Stark County, Ohio",3707360,378098,24237
232,"Ventura County, California",3666163,753197,112976
233,"Tulsa County, Oklahoma",3664978,563299,41914
234,"Genesee County, Michigan",3655415,436141,29640
235,"Lake County, Illinois",3650989,644356,33661
236,"Kern County, California",3642363,661645,96672
237,"Toledo, Ohio",3592366,313619,80458
238,"Rochester, New York",3581776,219773,129995
239,"York County, Pennsylvania",3538310,381751,36866
240,"DeKalb County, Georgia",3529790,665865,37158
241,"Chester County, Pennsylvania",3499859,433501,63733
242,"Wake County, North Carolina",3473463,627846,50869
243,Spokane metropolitan area,3460335,469737,6676
244,Oklahoma City,3430286,506132,101929
245,"Saint Paul, Minnesota",3427445,287151,99742
246,"Oneida County, New York",3423776,235469,29838
247,"Morris County, New Jersey",3399253,470212,60938
248,"Omaha, Nebraska",3392841,390007,145875
249,Lansing–East Lansing metropolitan area,3384143,447734,9708
250,Alaska,3324513,626932,149868
251,Demographics of Alaska,3324513,626932,12832
252,"San Joaquin County, California",3308166,563598,78000
253,"Toledo, OH Metropolitan Statistical Area",3265976,659188,18566
254,"El Paso, Texas",3243849,563662,138601
255,"Hillsborough County, New Hampshire",3225479,380841,20267
256,"Charleston County, South Carolina",3199610,309969,30016
257,"Sedgwick County, Kansas",3190123,452869,22798
258,"Mercer County, New Jersey",3187952,350761,52058
259,"Lackawanna County, Pennsylvania",3183422,213295,39046
260,"Mobile County, Alabama",3169182,399843,24460
261,Staten Island,3156975,443728,131728
262,"Will County, Illinois",3128671,502266,19538
263,"Burlington County, New Jersey",3128264,423394,63583
264,"Bernalillo County, New Mexico",3102326,556678,16602
265,"Austin, Texas",3093190,656562,161804
266,"Polk County, Iowa",3081540,374601,19360
267,"Spokane County, Washington",3077849,417939,19735
268,"Knox County, Tennessee",3070234,382032,26365
269,"Orange County, New York",3056696,341367,50076
270,"Center Township, Marion County, Indiana",3046589,167055,7120
271,"Long Beach, California",3041045,461522,132472
272,"Snohomish County, Washington",3000700,606024,36391
273,"Dane County, Wisconsin",2993434,426526,21612
274,"Anne Arundel County, Maryland",2993265,489656,57410
275,"Lehigh County, Pennsylvania",2959931,312090,48977
276,"Guilford County, North Carolina",2959732,421048,24194
277,"Erie County, Pennsylvania",2951252,280845,36588
278,"Mahoning County, Ohio",2940672,257555,21198
279,"Providence, Rhode Island",2921501,173618,94836
280,"Birmingham, Alabama",2879723,242840,103388
281,Honolulu,2874445,371657,70347
282,"Charlotte, North Carolina",2869157,540828,97887
283,"Cumberland County, Maine",2867646,265612,20392
284,"Northampton County, Pennsylvania",2866261,267066,32763
285,"Kane County, Illinois",2852946,404119,17255
286,"Pulaski County, Arkansas",2851667,361474,21251
287,"Dauphin County, Pennsylvania",2843957,251805,39724
288,"Schuylkill County, Pennsylvania",2819868,150336,52656
289,"Hidalgo County, Texas",2790079,569463,30122
290,"Washington County, Pennsylvania",2790037,202897,44733
291,"Allen County, Indiana",2783639,331849,32867
292,"Dutchess County, New York",2753711,280150,45174
293,"Greenville County, South Carolina",2747450,379616,12309
294,"St. Clair County, Illinois",2741231,256082,19883
295,Lehigh Valley,2708121,740395,77698
296,"Jefferson Parish, Louisiana",2687651,455466,43248
297,"New London County, Connecticut",2665569,259088,26888
298,"Tulsa, Oklahoma",2664301,393049,150833
299,"Demographics of Tulsa, Oklahoma",2664301,393049,7371
300,"Cobb County, Georgia",2663739,607751,52154
301,Miami,2662511,362470,134569
302,"Hamilton County, Tennessee",2653892,307896,17796
303,"East Baton Rouge Parish, Louisiana",2652895,412852,21523
304,"Richmond, Virginia",2613498,197790,149751
305,"Polk County, Florida",2607903,483924,48838
306,"Akron, Ohio",2599348,217074,148670
307,"Butler County, Ohio",2558116,332807,26482
308,"El Paso County, Colorado",2552587,516929,30683
309,"Sacramento, California",2529244,407018,116978
310,"Norfolk, Virginia",2489959,234403,108137
311,"Niagara County, New York",2488898,219846,31493
312,"Arapahoe County, Colorado",2482246,487967,18556
313,"Madison County, Illinois",2469385,258941,22027
314,"Sonoma County, California",2447191,458614,138918
315,"Ocean County, New Jersey",2439317,510916,49656
316,"St. Joseph County, Indiana",2415307,265559,32133
317,"Richland County, South Carolina",2398048,320677,16569
318,"St. Louis County, Minnesota",2397982,200528,35095
319,"Jefferson County, Colorado",2396136,527056,22086
320,"Tucson, Arizona",2389963,486699,124027
321,"New Haven, Connecticut",2386049,130322,150938
322,"Lorain County, Ohio",2383784,284664,20664
323,"Fayette County, Pennsylvania",2378806,148645,54155
324,"Dayton, Ohio",2371089,166179,117777
325,"Rensselaer County, New York",2360447,152538,23322
326,"Albuquerque, New Mexico",2355154,448607,121104
327,"Cambria County, Pennsylvania",2348009,152598,31303
328,"Worcester, Massachusetts",2332837,172648,94375
329,"Kanawha County, West Virginia",2328798,200073,28332
330,"Syracuse, New York",2325038,146070,87463
331,Providence metropolitan area,2322963,1134350,9496
332,"Stanislaus County, California",2311574,446997,77650
333,"Ingham County, Michigan",2309982,279320,16023
334,"Gwinnett County, Georgia",2308208,588448,36972
335,"Broome County, New York",2305972,200536,29975
336,"Brookhaven, New York",2303224,448248,42765
337,"Monterey County, California",2286512,401762,93462
338,"Santa Barbara County, California",2284320,399347,86195
339,"Winnebago County, Illinois",2267349,278418,14286
340,"Washtenaw County, Michigan",2262213,322895,21246
341,"Trumbull County, Ohio",2220616,225116,20451
342,"Tulare County, California",2216314,368021,104061
343,"Johnson County, Kansas",2210728,451086,36652
344,"Spartanburg County, South Carolina",2206894,253791,15337
345,"Caddo Parish, Louisiana",2205039,252161,17399
346,"Chatham County, Georgia",2202152,232048,18091
347,"Forsyth County, North Carolina",2197620,306067,20708
348,"Tampa, Florida",2190862,303447,136576
349,"Waukesha County, Wisconsin",2177847,360767,31534
350,"Collin County, Texas",2162520,491675,26551
351,"Beaver County, Pennsylvania",2153659,181412,33203
352,"Peoria County, Illinois",2140794,183433,15678
353,"Saginaw County, Michigan",2132865,210039,30726
354,"Rockingham County, New Hampshire",2113962,277359,22330
355,"Brevard County, Florida",2110873,476320,157142
356,"Hinds County, Mississippi",2109657,250800,13290
357,"Jefferson County, Texas",2099518,252051,28880
358,"Grand Rapids, Michigan",2098512,197800,113819
359,"Volusia County, Florida",2097441,443343,35366
360,"Fresno, California",2092839,427652,88600
361,"Oyster Bay (town), New York",2091891,295164,32125
362,"Berkshire County, Massachusetts",2067102,134953,41834
363,"Nueces County, Texas",2060802,313645,9452
364,"Ulster County, New York",2045559,177749,25328
365,"Montgomery County, Alabama",2044850,223510,16701
366,"Des Moines, Iowa",2041012,198682,96701
367,"Solano County, California",2039178,394542,59470
368,"Rockland County, New York",2015836,286753,53721
369,"Washington County, Oregon",2004442,445342,37321
370,"Lane County, Oregon",1983793,322959,30409
371,"Cumberland County, North Carolina",1981833,302963,12009
372,"Utah County, Utah",1975290,368540,21410
373,"Mobile, Alabama",1964758,195111,154388
374,"Atlantic County, New Jersey",1956074,252552,39993
375,"Chautauqua County, New York",1954171,139750,26729
376,"Islip, New York",1949369,322612,28546
377,"Fayette County, Kentucky",1945774,260512,12307
378,"Kalamazoo County, Michigan",1940881,238603,13620
379,"Litchfield County, Connecticut",1938272,182193,32649
380,"Madison County, Alabama",1932896,276700,16872
381,"Henrico County, Virginia",1931205,262300,33842
382,"Cameron County, Texas",1923491,335227,18449
383,"Lancaster County, Nebraska",1922360,250291,10691
384,"York County, Maine",1920591,186742,29056
385,"Sangamon County, Illinois",1912392,188951,17308
386,"Virginia Beach, Virginia",1905189,425257,94979
387,"Yonkers, New York",1900254,196086,59510
388,"Denton County, Texas",1890437,432976,26577
389,Salt Lake City,1884090,181743,175719
390,"Escambia County, Florida",1878752,294410,38409
391,"Hartford, Connecticut",1878188,121578,134394
392,"Cumberland County, Pennsylvania",1872488,213670,31405
393,"Gloucester County, New Jersey",1868102,254673,53584
394,"Wyandotte County, Kansas",1855342,157882,19070
395,"Springfield, Massachusetts",1854787,152082,155497
396,"Vanderburgh County, Indiana",1842561,171922,18782
397,"Lee County, Florida",1835977,440888,43205
398,"Fort Wayne, IN Metropolitan Statistical Area",1834480,390156,9137
399,"Clackamas County, Oregon",1827427,338391,27824
400,"Penobscot County, Maine",1826509,144919,18597
401,"Albany, New York",1801964,95658,193108
402,"Fort Wayne, Indiana",1801952,205727,117405
403,"Saratoga County, New York",1787513,200635,29964
404,"Greene County, Missouri",1781965,240391,48630
405,"Bridgeport, Connecticut",1775451,139529,79745
406,"Spokane, Washington",1770360,195629,183775
407,"Hampshire County, Massachusetts",1760559,152251,29861
408,"Blair County, Pennsylvania",1749293,129144,19232
409,"Galveston County, Texas",1749012,250158,29776
410,"St. Lawrence County, New York",1745656,111931,20057
411,"McLennan County, Texas",1738506,213517,17064
412,"Adams County, Colorado",1728809,363857,21283
413,"North Hempstead, New York",1722961,221372,24757
414,Las Vegas,1716691,478434,67293
415,"Schenectady County, New York",1716604,146555,16310
416,"Marion County, Oregon",1714721,284834,22379
417,"Richmond County, Georgia",1708030,199775,12439
418,"Dakota County, Minnesota",1704835,355904,39463
419,"Buncombe County, North Carolina",1695524,206330,22668
420,"Clark County, Washington",1694265,345238,24359
421,"Colorado Springs, Colorado",1690405,360890,86373
422,"Corpus Christi, Texas",1671071,277454,66415
423,"Brown County, Wisconsin",1660530,226778,21273
424,"Racine County, Wisconsin",1654640,188831,16084
425,"Linn County, Iowa",1645460,191701,21913
426,"Tacoma, Washington",1645001,193556,73111
427,"Northumberland County, Pennsylvania",1642794,94556,36380
428,"Butler County, Pennsylvania",1641500,174083,33053
429,"Frederick County, Maryland",1636240,195277,47355
430,"Rock Island County, Illinois",1632912,149374,13952
431,"Springfield metropolitan area, Missouri",1616463,368374,10188
432,"Cambridge, Massachusetts",1596323,105162,111162
433,"Lowell, Massachusetts",1592920,106519,74845
434,"Lincoln, Nebraska",1592402,225581,128903
435,"Jefferson County, New York",1591753,111738,24905
436,"Mercer County, Pennsylvania",1589752,120307,20912
437,"Marin County, California",1588508,247289,107966
438,"Clark County, Ohio",1587062,144742,20326
439,"St. Petersburg, Florida",1585921,248232,121255
440,"Washoe County, Nevada",1585227,339486,26260
441,"Fort Bend County, Texas",1576065,354452,52770
442,"Shreveport, Louisiana",1569849,200145,70246
443,"Berrien County, Michigan",1569290,162453,24188
444,"Steuben County, New York",1567355,98726,18238
445,"Lake County, Ohio",1567144,227511,23296
446,"Flint, Michigan",1560654,124943,105127
447,"Santa Ana, California",1557292,337977,54637
448,"Kennebec County, Maine",1556597,117114,22730
449,"Yakima County, Washington",1555923,222581,17071
450,"Champaign County, Illinois",1549757,179669,21640
451,"Oswego County, New York",1547867,122377,24191
452,"Jackson County, Michigan",1545297,158422,25556
453,"Kansas City, Kansas",1542930,146866,46849
454,"Río Piedras, Puerto Rico",1540583,323860,9966
455,"Lycoming County, Pennsylvania",1533392,120044,37403
456,"Ada County, Idaho",1528322,300904,18448
457,"Muscogee County, Georgia",1527015,186291,17254
458,"Shawnee County, Kansas",1521829,169871,34397
459,"LaSalle County, Illinois",1520985,111509,32461
460,"Fall River, Massachusetts",1519611,88857,65613
461,"Kenton County, Kentucky",1515484,151464,12524
462,"Raleigh, North Carolina",1513603,276093,117127
463,South Bend – Mishawaka metropolitan area,1511889,316663,7935
464,"Knoxville, Tennessee",1511282,173890,128054
465,"Ottawa County, Michigan",1508999,238314,21591
466,"Lexington, Kentucky",1506121,260512,86729
467,"Scott County, Iowa",1499903,158668,19810
468,"Lubbock County, Texas",1498317,242628,13535
469,"Bell County, Texas",1494081,237974,20317
470,"Savannah, Georgia",1493960,131510,84566
471,"Youngstown, Ohio",1492662,82026,90924
472,"Calhoun County, Michigan",1491271,137985,14727
473,"Baton Rouge, Louisiana",1490845,227818,99330
474,Hispanics and Latinos in Massachusetts,1484975,428729,12868
475,"Scranton, Pennsylvania",1484592,76415,85033
476,"Bibb County, Georgia",1484369,153887,22253
477,"Columbiana County, Ohio",1482211,112075,27088
478,"Franklin County, Pennsylvania",1481697,129308,22149
479,"Anderson County, South Carolina",1478586,165740,12793
480,"Seminole County, Florida",1472742,365196,24061
481,"Muskegon County, Michigan",1472420,170200,20071
482,"Montgomery, Alabama",1472337,201568,84247
483,"Anaheim, California",1469950,328014,64521
484,"Pasco County, Florida",1468667,344765,39839
485,"Gaston County, North Carolina",1464269,190365,25817
486,"New Bedford, Massachusetts",1463606,95072,93293
487,"Chattanooga, Tennessee",1455330,155554,160028
488,"Anoka County, Minnesota",1448102,298084,21174
489,"Madison, Wisconsin",1447365,208054,109820
490,"Barnstable County, Massachusetts",1447076,222230,41213
491,"Durham County, North Carolina",1441045,223314,11545
492,"Evansville, Indiana",1440866,121582,79460
493,"Sarasota County, Florida",1440113,325957,34165
494,"Rock County, Wisconsin",1437713,152307,18686
495,"Chesterfield County, Virginia",1431808,259903,43992
496,"Cumberland County, New Jersey",1431015,146438,32820
497,"Little Rock, Arkansas",1430506,183133,59406
498,"Winnebago County, Wisconsin",1430297,156763,17608
499,"Arlington County, Virginia",1429407,189453,111176
500,"McHenry County, Illinois",1428647,260077,28489
501,"St. Clair County, Michigan",1417729,164235,19358
502,"Elkhart County, Indiana",1416954,182791,35522
503,"Boulder County, Colorado",1416029,271651,19492
504,"St. Charles County, Missouri",1414082,283883,69276
505,"Santa Cruz County, California",1413215,255602,78641
506,"Harford County, Maryland",1413182,218590,63539
507,"McLean County, Illinois",1408806,150433,14992
508,"Middlesex County, Connecticut",1407147,155071,18645
509,"Madison County, Indiana",1406277,133358,16552
510,"Mesa, Arizona",1405920,396375,48182
511,"Prince William County, Virginia",1401237,280813,44055
512,"Tuscaloosa County, Alabama",1399441,164875,27521
513,"Vigo County, Indiana",1397521,105848,25640
514,"Erie, Pennsylvania",1386651,103717,79423
515,"Stockton, California",1384024,243771,108402
516,"Richland County, Ohio",1383259,128852,17448
517,"Washington County, Maryland",1382645,131923,35426
518,"Licking County, Ohio",1378297,145491,18965
519,"St. Cloud, Minnesota metropolitan area",1370705,167392,9361
520,"Calcasieu Parish, Louisiana",1367990,183577,28118
521,"Cayuga County, New York",1358588,81963,19726
522,"Lynn, Massachusetts",1358551,90329,53049
523,"Kent County, Rhode Island",1357214,167090,17201
524,Fargo–Moorhead,1349138,174367,10918
525,"Riverside, California",1338919,255166,74613
526,"Jackson, Mississippi",1336707,184286,106086
527,"Greensboro, North Carolina",1335730,223891,94261
528,"Peoria, Illinois",1330554,112936,77232
529,"Huntington, New York",1330309,195289,42684
530,"York County, South Carolina",1329255,164614,33960
531,"Reading, Pennsylvania",1327379,81207,51235
532,"Ontario County, New York",1325357,100224,26900
533,"Buchanan County, Missouri",1319808,85998,29040
534,"Weber County, Utah",1316809,196533,11935
535,"Sussex County, Delaware",1316115,156638,45545
536,"Rockford, Illinois",1315463,150115,70464
537,"Babylon, New York",1305707,211792,12381
538,"Lebanon County, Pennsylvania",1302732,120327,23828
539,"Columbus, Georgia",1296076,186291,53354
540,"Outagamie County, Wisconsin",1288554,160971,17199
541,"Brazoria County, Texas",1286980,241767,25514
542,"Montgomery County, Texas",1285012,293768,17219
543,"Leon County, Florida",1284592,239452,29744
544,"San Luis Obispo County, California",1279942,246681,71777
545,"Winston-Salem, North Carolina",1278662,185776,57839
546,"Arlington, Texas",1277983,332969,54317
547,"Merrimack County, New Hampshire",1277604,136225,15747
548,"Belmont County, Ohio",1276764,70226,22831
549,"Alachua County, Florida",1275072,217955,31797
550,"Chittenden County, Vermont",1273611,146571,22870
551,"Rapides Parish, Louisiana",1266170,126337,18023
552,"Lexington County, South Carolina",1265996,216014,14330
553,"Sullivan County, Tennessee",1265971,153048,15941
554,"Lawrence County, Pennsylvania",1263561,94639,22606
555,"Clermont County, Ohio",1263174,177977,36255
556,"Macon County, Illinois",1263079,114706,12591
557,"Crawford County, Pennsylvania",1262957,90367,22205
558,"Williamson County, Texas",1262527,249967,49099
559,"Charleston, South Carolina",1262096,96650,146638
560,"Windham County, Connecticut",1261468,109091,24420
561,"Marion County, Florida",1259094,258916,28324
562,"Harrison County, Mississippi",1257202,189601,11265
563,"Wilmington, Delaware",1255246,72664,100879
564,"Smith County, Texas",1254743,174706,17719
565,"Portage County, Ohio",1242295,152061,28977
566,"Strafford County, New Hampshire",1239865,112233,14774
567,"Manatee County, Florida",1238720,264002,44913
568,"Black Hawk County, Iowa",1237850,128012,13720
569,"Tippecanoe County, Indiana",1237671,148955,31772
570,"Jefferson County, Ohio",1230095,73894,26614
571,"Centre County, Pennsylvania",1229401,135760,32523
572,"Delaware County, Indiana",1228320,118769,15786
573,"Waterbury, Connecticut",1226717,107271,77793
574,"Gary, Indiana",1223865,102746,65701
575,"Larimer County, Colorado",1222669,251494,25997
576,"Kitsap County, Washington",1222128,231969,22137
577,"Placer County, California",1221970,248399,68133
578,"Bay County, Michigan",1220550,110157,19313
579,"Monroe County, Michigan",1218225,145945,68251
580,"Woodbury County, Iowa",1217639,103877,18660
581,"Glendale, California",1215198,194973,62617
582,"Cattaraugus County, New York",1214995,83955,32755
583,"Charleston, South Carolina metropolitan area",1213640,549033,12328
584,"Butte County, California",1213195,203171,71988
585,"Lafayette Parish, Louisiana",1212948,190503,14278
586,"South Bend, Indiana",1212315,107789,102145
587,"Laredo, Texas",1211925,236091,141735
588,"Ashtabula County, Ohio",1211687,102728,26514
589,"Clearfield County, Pennsylvania",1211159,83380,33504
590,"Rutherford County, Tennessee",1207836,182023,19596
591,"Muskingum County, Ohio",1204711,84585,19461
